index,contour,contrast,luminance,mean_color,mean_color_r,shannon_entropy,year
0,5.60E-05,0.827169463,181.7386242,"[195.04633161367624, 179.93297130025903, 160.43923835137034]",195.0463316,6.768126791,1946
1,0,0.587802204,161.7230455,"[228.9834626679892, 156.9777388801369, 10.674273100336464]",228.9834627,6.937948026,1953
2,0.00375812,0.853499226,214.564295,"[217.90556421172752, 214.52938465589887, 205.07141524754215]",217.9055642,6.519650518,1944
3,6.33E-05,0.706195766,184.0800647,"[191.22959893724698, 183.47946451163966, 168.9769934526822]",191.2295989,6.451747146,1951
4,0,0.6581309,224.7991111,"[230.15480379293894, 224.6640326812977, 210.36680979643765]",230.1548038,5.738259403,1949
5,5.71E-05,0.710298571,112.3966309,"[117.86319294381649, 111.82913792386968, 101.92128282912235]",117.8631929,6.255054734,1945
6,0,0.374629568,92.77761442,"[180.42964255319148, 68.53633191489362, 74.80731063829788]",180.4296426,6.584764825,1967
7,0,0.458030157,126.4244706,"[199.58140263810893, 111.98454137825955, 54.04598842018197]",199.5814026,6.084141823,1961
8,0.002285088,0.992391743,116.9453424,"[174.7499649122807, 102.5982149122807, 88.85396929824562]",174.7499649,7.585441268,1945
9,0.001394558,0.604118923,68.8231229,"[103.76042980828696, 60.30377860235003, 50.337854050711194]",103.7604298,6.670086452,1958
10,0.000241148,0.471659677,35.76709839,"[38.64353785103785, 34.50434981684982, 39.80569597069597]",38.64353785,4.127100581,1958
11,0.002333333,0.998323026,123.298387,"[148.23394405594405, 118.28014452214452, 99.58297902097902]",148.2339441,7.466985492,1945
12,0,0.58407288,102.5606829,"[168.3727296736465, 85.47117902282588, 78.05614035087719]",168.3727297,6.547523768,1961
13,0.002157837,0.913324251,44.43299516,"[113.33050772626932, 23.994541942604858, 44.01707505518764]",113.3305077,6.540724557,1967
14,0,0.544398571,102.394451,"[190.6799935149157, 82.03858949416342, 44.07043125810635]",190.6799935,6.4825522,1961
15,0.001044634,0.673184746,88.22330966,"[118.49940306606973, 82.72011938678605, 53.585972052638716]",118.4994031,7.247862746,1949
16,0.001535662,0.985475662,142.799157,"[190.52893740902473, 134.55908296943232, 83.87879184861717]",190.5289374,7.844444441,1939
17,0.002172755,0.989882895,144.071636,"[190.83549086757992, 134.79035768645358, 98.30951293759513]",190.8354909,7.664053205,1945
18,0.000338499,0.500186866,48.6892449,"[55.613013698630134, 46.360628338710534, 51.36837679166446]",55.6130137,5.492563269,1958
19,0.003656839,0.856367454,115.2630183,"[141.35355036855037, 110.01150696150697, 90.45739148239149]",141.3535504,7.577653338,1945
20,0.004496667,0.997898599,90.51533262,"[190.95384, 65.27244, 44.81575]",190.95384,7.604876387,1949
21,0.002960265,0.691646961,80.41989834,"[82.75543046357616, 80.0478344370861, 77.22829139072847]",82.75543046,5.767699853,1961
22,0.00030137,0.690988177,102.3128911,"[187.6071095890411, 81.45388584474885, 57.78116894977169]",187.6071096,7.386363611,1947
23,0.002913534,0.600991329,60.19110002,"[89.65200501253133, 49.41722744360902, 80.16458020050125]",89.65200501,7.241841602,1961
24,0.002429013,1,47.23410608,"[88.75566769601566, 35.82167783886922, 38.019212422485]",88.7556677,6.680274405,1958
25,0.00164903,0.617101463,65.87575432,"[83.28468547912992, 61.0963139329806, 61.957707231040565]",83.28468548,5.915477268,1958
26,0.001168784,1,180.8707311,"[213.22476709013915, 174.75915305505143, 146.14126557773744]",213.2247671,7.369926187,1945
27,0.002202364,0.748024352,120.5433252,"[171.12943191705335, 108.6438741661833, 89.46134534512761]",171.1294319,7.357759793,1947
28,0.004008398,0.610238742,60.19792493,"[71.55541666666667, 57.47236757105943, 53.75354651162791]",71.55541667,6.012707405,1961
