index,contour,contrast,luminance,mean_color,mean_color_r,shannon_entropy,period
0,0.001028719,0.913992008,104.7521187,"[111.63553907721281, 102.09598399246704, 110.79439500941619]",111.6355391,7.683988817,themes_variations_59_60
1,5.11E-05,0.6916029,147.4905918,"[179.380989649885, 141.84522744697162, 109.50812675696396]",179.3809896,7.577162389,themes_variations_59_60
2,0.000692734,0.834954882,126.4798976,"[162.2740019499179, 120.33982963875205, 81.9030275041051]",162.2740019,7.579553536,themes_variations_59_60
3,5.39E-05,0.848749018,113.4206876,"[103.49780652418448, 116.78484955005624, 109.31481299212598]",103.4978065,7.387632488,themes_variations_59_60
4,0.00115817,0.90483544,127.5364187,"[154.67575111455707, 119.23673192479163, 129.8371656328746]",154.6757511,7.85351082,themes_variations_59_60
5,0.005166968,0.99578156,84.10729454,"[95.23463898916968, 81.38853113718412, 78.27330776173285]",95.23463899,7.246963578,themes_variations_59_60
6,0.003903564,0.982845924,107.1564105,"[117.7867302281963, 104.82665286026884, 98.9325414191935]",117.7867302,7.612779999,themes_variations_59_60
7,0.00627551,0.957835314,79.95887673,"[100.14040391156463, 74.41277636054421, 75.47104166666666]",100.1404039,7.172347619,themes_variations_59_60
8,0.00209274,0.909773248,103.6480202,"[127.41807160917465, 97.28875519234242, 96.6484829329962]",127.4180716,7.730596757,themes_variations_59_60
9,0.002766798,0.987643113,141.3879255,"[159.17263316393752, 136.76948287220026, 134.76855354790138]",159.1726332,7.60776716,themes_variations_59_60
10,0.005726601,0.943279221,79.14849851,"[82.18655126801679, 76.83232302499543, 93.14626436781609]",82.18655127,7.094823001,themes_variations_59_60
11,0.000228515,0.790360698,107.1362373,"[181.9677134376178, 87.9233179419525, 77.10726300414625]",181.9677134,7.232090694,themes_variations_59_60
12,0.000409886,0.971869541,63.73896723,"[72.57344040968343, 61.90558203789167, 55.88617065419804]",72.57344041,6.125661726,themes_variations_59_60
13,0.00175641,0.796725754,120.0305159,"[121.06103846153846, 119.97376923076924, 117.55816346153846]",121.0610385,7.498976014,themes_variations_59_60
14,0.00080696,0.882788906,101.0472137,"[140.96642654700048, 94.09927176822548, 52.32620847110691]",140.9664265,7.45314783,themes_variations_59_60
15,0.001160776,0.965663056,86.24268421,"[145.10005197505197, 65.72064102564103, 116.21898475398476]",145.100052,7.403241321,themes_variations_59_60
16,0.00114845,1,58.5960639,"[90.7408261507427, 48.60745919677242, 62.88794241701815]",90.74082615,7.197232899,themes_variations_59_60
17,0.000720926,1,110.6229011,"[130.5737075507494, 111.37598178713716, 44.41591016884841]",130.5737076,6.986653761,themes_variations_59_60
18,0.00058953,1,87.56015024,"[124.92140900195695, 80.84897994129159, 44.02587573385519]",124.921409,6.446374675,themes_variations_59_60
19,0.000672716,0.895693123,68.21182628,"[101.43652333273735, 58.563633112819595, 65.95167620239584]",101.4365233,7.13865066,themes_variations_59_60
20,0.000662667,0.806505208,103.8731943,"[110.04390345982142, 103.24442196800595, 91.93143833705358]",110.0439035,7.150231265,themes_variations_59_60
21,0,0.60059991,214.8026044,"[218.7400076496462, 213.6806703002486, 214.3222078791356]",218.7400076,6.192120631,themes_variations_59_60
